"","da","pa","qa","pg","qg","RMSE","AIC"
"329",0,2,7,1,1,0.0901761574121482,-1.34171791399271
"330",0,2,7,1,2,0.089958278939881,-1.33988208754979
"331",0,2,7,1,3,0.0898352813439773,-3.30945644316238
"332",0,2,7,2,0,0.0901360399549628,-3.01965399237506
"333",0,2,7,2,3,0.0898371226024954,-3.3101864622545
"334",0,2,7,3,0,0.0897087041191869,-3.09868324911572
"335",0,2,7,3,2,0.0898308669792599,-3.30949698061588
"336",0,2,7,3,3,0.0898429822690398,-3.31051542075403
"337",0,3,0,0,1,0.0899177652798728,-2.80348247999044
"338",0,3,0,0,2,0.0899128052682566,-2.80332449205538
"339",0,3,0,0,3,0.0899171025361903,-2.8031661233477
"340",0,3,0,1,0,0.0898096948642967,-2.91339163034926
"341",0,3,0,1,1,0.0899326723416977,-3.19756983064869
"342",0,3,0,1,2,0.0897534983831397,-3.21445117852272
"343",0,3,0,1,3,0.0900091389321924,-3.13528818972036
"344",0,3,0,2,0,0.0898507157795341,-2.99153224977774
"345",0,3,0,2,1,0.0898084357105503,-3.31050054961292
"346",0,3,0,2,2,0.0898073848271823,-3.31082808376568
"347",0,3,0,2,3,0.0898147540393604,-3.31136282938973
"348",0,3,0,3,0,0.0898557786095955,-3.07165162505732
"349",0,3,0,3,1,0.0900298195289185,-3.12481807732603
"350",0,3,0,3,2,0.0898073891133821,-3.31066981734951
"351",0,3,0,3,3,0.0899923678699049,-3.06166373739929
"352",0,3,1,0,1,0.0904609597054823,-2.77016451457245
"353",0,3,1,0,2,0.0899301223694979,-2.80318200674114
"354",0,3,1,0,3,0.0899297733360254,-2.80821098777781
"355",0,3,1,1,0,0.089868715603476,-2.93933332704957
"356",0,3,1,1,1,0.0897734594988232,-3.31056662670118
"357",0,3,1,1,2,0.0897763511514076,-3.21266995814927
"358",0,3,1,1,3,0.0894811110685228,-3.16582051297217
"359",0,3,1,2,0,0.0899207337562035,-3.01851240710478
"360",0,3,1,2,1,0.0897733193059534,-3.31040836156088
"361",0,3,1,2,2,0.0897706696410946,-3.31074084246777
"362",0,3,1,2,3,0.089778064420342,-3.31127734265191
"363",0,3,1,3,0,0.0897804405317978,-3.09925641036874
"364",0,3,1,3,1,0.0897733015205717,-3.31025009062037
"365",0,3,1,3,2,0.0898545665231826,-3.22125605607308
"366",0,3,1,3,3,0.089788414594644,-3.31161201690371
"367",0,3,2,0,1,0.089975735301012,-2.77745865442552
"368",0,3,2,0,2,0.090093937993339,-2.80322671658992
"369",0,3,2,0,3,0.0900993319401987,-2.80306951043199
"370",0,3,2,1,0,0.0898907823414758,-2.93935840657188
"371",0,3,2,1,1,0.089822968549317,-3.3105697687546
"372",0,3,2,1,2,0.0898219995411443,-3.31043873275737
"373",0,3,2,1,3,0.0898232713388281,-3.3105475678789
"374",0,3,2,2,0,0.0897148680411955,-3.0191472747994
"375",0,3,2,2,1,0.0898213389529089,-3.31041274911747
"376",0,3,2,2,2,0.0898200681687231,-3.31074636263246
"377",0,3,2,2,3,0.0898275000513273,-3.31127900634093
"378",0,3,2,3,0,0.089690214826431,-3.09948958067779
"379",0,3,2,3,1,0.0898213714298631,-3.31025447384689
"380",0,3,2,3,2,0.0898203252890824,-3.31058808886092
"381",0,3,2,3,3,0.0898377792658828,-3.311608624317
"382",0,3,3,0,1,0.0901307819553431,-2.80324331148143
"383",0,3,3,0,2,0.0901286482327567,-2.8030838923208
"384",0,3,3,0,3,0.0899318475721635,-2.80272967843718
"385",0,3,3,1,0,0.0899960038332911,-2.93931665564494
"386",0,3,3,1,1,0.0898627251936134,-3.31041981656037
"387",0,3,3,1,2,0.0898638954351601,-3.31028727734134
"388",0,3,3,1,3,0.089836460870589,-3.25970610950118
"389",0,3,3,2,0,0.0894880664351232,-3.0194947863895
